BUILT	contents/AWSSQSConfiguration.md	1	AWSSQSConfiguration_1	0	
FAILED	contents/AWSSQSConfiguration.md	2	AWSSQSConfiguration_2	6	CS0103,CS0246,CS1002
BUILT	contents/AWSSQSConfiguration.md	3	AWSSQSConfiguration_3	0	
BUILT	contents/AWSSQSConfiguration.md	4	AWSSQSConfiguration_4	0	
BUILT	contents/AWSSQSConfiguration.md	5	AWSSQSConfiguration_5	0	
FAILED	contents/AWSSQSConfiguration.md	6	AWSSQSConfiguration_6	8	CS0103,CS0246
FAILED	contents/AWSSQSConfiguration.md	7	AWSSQSConfiguration_7	8	CS0103,CS0246
FAILED	contents/AWSSQSConfiguration.md	8	AWSSQSConfiguration_8	12	CS0103,CS0246
FAILED	contents/AWSSQSConfiguration.md	9	AWSSQSConfiguration_9	8	CS0103,CS0246
FAILED	contents/AWSSQSConfiguration.md	10	AWSSQSConfiguration_10	10	CS0103,CS0246
BUILT	contents/AWSSQSMigrateToV10.md	1	AWSSQSMigrateToV10_1	0	
FAILED	contents/AWSSQSMigrateToV10.md	2	AWSSQSMigrateToV10_2	4	CS0103,CS0246
FAILED	contents/AWSSQSMigrateToV10.md	3	AWSSQSMigrateToV10_3	4	CS0103,CS0246
FAILED	contents/AWSSQSMigrateToV10.md	4	AWSSQSMigrateToV10_4	3	CS0103,CS0246
FAILED	contents/AWSSQSMigrateToV10.md	5	AWSSQSMigrateToV10_5	4	CS0103,CS0128,CS0246
FAILED	contents/AWSSQSMigrateToV10.md	6	AWSSQSMigrateToV10_6	7	CS0103,CS0128,CS0246
BUILT	contents/AWSSQSMigrateToV10.md	7	AWSSQSMigrateToV10_7	0	
FAILED	contents/AggregationQueryPatterns.md	1	AggregationQueryPatterns_1	3	CS0234,CS0246
FAILED	contents/AggregationQueryPatterns.md	2	AggregationQueryPatterns_2	4	CS0103,CS0234,CS0246
FAILED	contents/AggregationQueryPatterns.md	3	AggregationQueryPatterns_3	3	CS0234,CS0246
FAILED	contents/AgreementDispatcher.md	1	AgreementDispatcher_1	7	CS0103,CS0246,CS1001,CS1525,CS8635
FAILED	contents/AgreementDispatcher.md	2	AgreementDispatcher_2	4	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	3	AgreementDispatcher_3	4	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	4	AgreementDispatcher_4	4	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	5	AgreementDispatcher_5	4	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	6	AgreementDispatcher_6	12	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	7	AgreementDispatcher_7	1	CS0246
FAILED	contents/AgreementDispatcher.md	8	AgreementDispatcher_8	6	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	9	AgreementDispatcher_9	5	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	10	AgreementDispatcher_10	2	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	11	AgreementDispatcher_11	5	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	12	AgreementDispatcher_12	9	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	13	AgreementDispatcher_13	3	CS0103,CS0246
FAILED	contents/AgreementDispatcher.md	14	AgreementDispatcher_14	1	CS0103
FAILED	contents/AgreementDispatcherRouting.md	1	AgreementDispatcherRouting_1	1	CS0103
