# Which scaffold a page's blocks are compiled with. One row per page.
#
#   page <TAB> unit <TAB> prelude
#
# `unit`    a file under scaffold/units/, compiled alongside every block of
#           that page, supplying identifiers the page names but no block
#           defines. `-` for none.
# `prelude` a file under scaffold/preludes/, which REPLACES the generic wrapper
#           for that page's blocks -- a typed handler class, say, so that a
#           block which is the body of a method has the method to sit in.
#           `-` for none.
#
# THE UNIT OF ADMISSION IS A PAGE, NOT A BLOCK. A page's blocks share a world,
# which is what makes the hand-work tractable and what stops a scaffold being
# tuned until one stubborn block goes green.
#
# Phase 1 populated this with the page it needed to red-proof the mechanism in
# both directions. Phase 3 task 3.3 added the rest, under one rule: A UNIT
# SUPPLIES VALUES, TYPED FROM A PINNED PACKAGE OR THE BCL, AND NOTHING ELSE --
# no domain type, no type another block on the page declares, no `dynamic`.
# A page is listed here only if its unit makes at least one block build, and
# every member of a unit is named by a block that builds with it.
# `baseline.tsv` records the scaffold each admitted block was measured with.
contents/DapperOutbox.md	PageContext	-
contents/AzureScheduler.md	AzureSchedulerContext	-
contents/DynamoOutbox.md	DynamoOutboxContext	-
contents/HandlingPoisonMessages.md	HandlingPoisonMessagesContext	-
contents/HowConfiguringTheCommandProcessorWorks.md	HowConfiguringTheCommandProcessorWorksContext	-
contents/MSSQLTransportInboxAndOutbox.md	RelationalTransportContext	-
contents/MessageMappers.md	MessageMappersContext	-
contents/MigratingToNullableReferenceTypes.md	MigratingToNullableReferenceTypesContext	-
contents/MigratingToPollyV8.md	MigratingToPollyV8Context	-
contents/PolicyRetryAndCircuitBreaker.md	PolicyRetryAndCircuitBreakerContext	-
contents/PostgreSQLTransportAndOutbox.md	RelationalTransportContext	-
contents/SweeperCircuitBreaking.md	SweeperCircuitBreakingContext	-
contents/TickerQScheduler.md	TickerQSchedulerContext	-
contents/UsingSweeperCircuitBreaking.md	UsingSweeperCircuitBreakingContext	-
